m_id,nbhd,artst,med,sz,yr,dt
M03273,Bronx,Faith47,Spray Paint,"7,445",2023,20231201
M02198,harlem,futura,Aerosol,"1,343",2018,20180422
M00604,astoria,Shepard Fairey,spray paint,"1,923",2020,20200704
M04856,chelsea ,cost,acrylic,"6,613",2008,20081220
M03919,Williamsburg,faith47,wheatpaste,"1,626",2013,20131017
M04644,Lower East Side,kaws,acrylic,"3,978",2018,20180401
M01099,Bronx,futura,Spray Paint,145,2020,20201014
M00865,Harlem,,aerosol,"7,084",2023,20230711
M04645,chelsea ,kaws,Mosaic,964,2023,20230921
M01818,BUSHWICK,Jane Q. Public,wheatpaste,"7,046",2007,20070224
M01383,LIC,COST,aerosol,,2019,20190124
M02268,harlem,Banksy,wheatpaste,"4,698",2007,20070420
M03162,Williamsburg,futura,Wheatpaste,"7,679",2018,20180424
M03152,BUSHWICK,futura,Mosaic,218,2021,20210407
M01567,LIC,kaws,spray paint,"1,105",2010,20100506
M03487,williamsburg,Lady Pink,aerosol,"2,402",2008,20081205
M00451,Williamsburg,Lady Pink,Spray Paint,,2014,20140521
M01630,BUSHWICK,Os Gemeos,wheatpaste,"1,743",2023,20230507
M00324, Bushwick ,,mosaic,999999,2016,20160518
M00869,Bushwick,Futura,spray paint,"3,763",2008,20080201
M01357,Astoria,Os Gemeos,mosaic,-50,2010,20100119
M00146,the bronx,Futura,mosaic,"7,500",2008,20080311
M04271,Williamsburg,COST,spraypaint,"3,013",2019,20190322
M04115, Bushwick ,Futura,spraypaint,"5,142",2012,20120119
M00647,Long Island City,cost,acrylic,406,2023,20230626
M01303, Bushwick ,faith47,mosaic,"7,670",2008,20080525
M01428,LES,faith47,Aerosol,753,2010,20100815
M01673,chelsea ,banksy,spraypaint,"2,381",2015,20150707
M02716,lower east side,Lady Pink,mosaic,"1,239",2019,20190708
M03497,harlem,cost,aerosol,"6,130",2005,20050802
M04774,BUSHWICK,faith47,spray paint,"2,465",2011,20110610
M00392,BUSHWICK,kaws,Mosaic,"5,214",2010,20100721
M01606,astoria,os gemeos,aerosol,"5,349",2005,20050624
M03383,Bronx,faith47,Wheatpaste,"6,022",2017,20170916
M01718,harlem,banksy,mosaic,"2,959",2023,20231007
M01807,SoHo,banksy,Acrylic,"6,177",2017,20170622
M02191,SoHo,Banksy,spraypaint,"3,189",2006,20061107
M01213,astoria, BANKSY ,Aerosol,-50,2014,20141103
M00804,Williamsburg,Os Gemeos,Acrylic,"1,578",2007,20071113
M01742,Long Island City,Lady Pink,Acrylic,"1,137",2012,20120128
M02102,Long Island City,os gemeos,Acrylic,"3,473",2018,20180512
M01937,LES,cost,Wheatpaste,"6,074",2015,20150523
M00506,Williamsburg,,aerosol,,2008,20080221
M00163,Bronx,Shepard Fairey,mosaic,"1,882",2014,20141223
M01555,Bushwick,Lady Pink,Wheatpaste,"2,731",2019,20191206
M00490,Williamsburg,Lady Pink,wheatpaste,"2,316",2013,20131204
M00992,Lower East Side,Banksy,mosaic,"5,262",2015,20150421
M03072,Williamsburg,Lady Pink,spraypaint,"3,277",2021,20210119
M04819,Chelsea,Banksy,Wheatpaste,"2,242",2009,20090113
M02224,Harlem,Banksy,wheatpaste,"4,160",2017,20170109
M01365,Chelsea,Jane Q. Public,Acrylic,"7,845",2011,20110127
M01376,Long Island City,os gemeos,wheatpaste,,2005,20051104
M04778,Bronx,Banksy,wheatpaste,"4,567",2018,20180122
M00598,LES,jane q. public,aerosol,"3,466",2009,20090420
M01809,Bushwick,jane q. public,Acrylic,"1,396",2005,20050922
M03469,lower east side,faith47,acrylic,"4,490",2006,20061027
M01513,harlem,Futura,mosaic,,2015,20150309
M02852,williamsburg,KAWS,aerosol,"3,978",2018,20180515
M04834,BUSHWICK,cost,wheatpaste,"4,642",2011,20110903
M00506,Williamsburg,,aerosol,,2008,20080221
M01373,Long Island City,banksy,Mosaic,"1,867",2009,20091018
M03844,BUSHWICK,Banksy,Spray Paint,146,2012,20120218
M00769, Bushwick ,futura,wheatpaste,"6,649",2021,20210518
M01874,Astoria, BANKSY ,acrylic,-50,2015,20150514
M02064, Bushwick ,shepard fairey,Spray Paint,"4,515",2007,20070422
M03441,Chelsea, BANKSY ,Acrylic,"5,577",2014,20140508
M01681,williamsburg,,aerosol,"1,516",2009,20090306
M00143,LES,Shepard Fairey,spray paint,"6,541",2012,20120308
M02418,BUSHWICK,Banksy,mosaic,"1,960",2010,20100801
M04691,Chelsea,Lady Pink,Spray Paint,"5,488",2018,20181018
M00674,lower east side,Banksy,acrylic,825,2018,20181120
M02033,Astoria,cost,Mosaic,"4,609",2018,20181024
M04871,the bronx,Shepard Fairey,Acrylic,"4,024",2015,20150819
M03567,soho,shepard fairey,Spray Paint,"3,679",,20091022
M02107, Bushwick ,cost,wheatpaste,"2,283",2009,20090608
M03813,harlem, BANKSY ,Mosaic,"4,289",2018,20180914
M00171,Williamsburg,Os Gemeos,spraypaint,"6,243",,20170213
M02713,Harlem,jane q. public,Aerosol,"3,162",2008,20080708
M03209,bushwick,kaws,Wheatpaste,"1,938",2020,20201008
M02514,harlem,Futura,spraypaint,"5,032",2018,20180127
M01904,the bronx,KAWS,spray paint,"5,207",2019,20190921
M00848,Lower East Side,shepard fairey,wheatpaste,"5,555",2018,20180627
M00920,Bushwick,cost,Wheatpaste,"6,442",2012,20120418
M03555,williamsburg,Faith47,wheatpaste,"6,686",2006,20060104
M02773,Long Island City,Faith47,Aerosol,795,2006,20060508
M04238,harlem,KAWS,Wheatpaste,"2,453",2013,20131204
M00184,LIC,kaws,spraypaint,"7,218",2021,20210118
M03514, Bushwick ,cost,aerosol,"4,113",2018,20180828
M03591,Williamsburg,,Spray Paint,"7,226",2013,20131203
M00539,bushwick,Os Gemeos,acrylic,"5,503",2023,20230623
M00540,the bronx,lady pink,wheatpaste,"3,330",2012,20120120
M02371,bushwick,Banksy,Wheatpaste,"3,431",2007,20070107
M03622,harlem, BANKSY ,spray paint,"7,258",2021,20210714
M00225,Astoria,KAWS,aerosol,"6,389",2016,20161215
M03861, Bushwick ,,Acrylic,"6,420",2020,20200804
M00422,the bronx,futura,Acrylic,93,2012,20121227
M03401,harlem,Jane Q. Public,Spray Paint,,2008,20081113
M04586,astoria,futura,spraypaint,"3,085",2014,20141006
M04688,Long Island City,Shepard Fairey,spraypaint,"3,727",2023,20230204
M00746, Bushwick ,kaws,aerosol,"6,662",2013,20130211
M00931,SoHo,futura,Wheatpaste,"1,371",2019,20190301
M00479,Lower East Side,lady pink,aerosol,"1,241",2019,20191015
M04006,williamsburg,cost,spray paint,897,2013,20130106
M01351,LES,Futura,Spray Paint,"7,110",2023,20230125
M04092,astoria,Faith47,aerosol,966,2014,20140303
M04316,LES, BANKSY ,Spray Paint,"6,902",2007,20070318
M01602,astoria,lady pink,spray paint,"7,390",2018,20180610
M00229,Williamsburg,cost,acrylic,"1,079",2009,20090425
M01111,SoHo,futura,mosaic,"6,986",2017,20170724
M04079, Bushwick ,Shepard Fairey,Mosaic,519,2009,20090504
M02005,Chelsea, BANKSY ,acrylic,"4,876",2007,20070926
M00640,harlem,KAWS,wheatpaste,"6,637",2023,20231122
M01839,Harlem,jane q. public,spray paint,"3,296",2007,20070215
M00508,BUSHWICK,,aerosol,"3,361",2021,20210905
M01110,Chelsea,jane q. public,Mosaic,"1,809",2014,20141016
M02133, Bushwick ,os gemeos,wheatpaste,"5,068",2011,20110303
M04731,Williamsburg,jane q. public,Mosaic,"3,843",2011,20110904
M01361,astoria, BANKSY ,aerosol,"3,376",2010,20100905
M03149,bushwick,faith47,Aerosol,"7,824",2006,20061117
M00154,chelsea ,cost,spray paint,920,2013,20130602
M00837,lower east side, BANKSY ,Aerosol,"1,772",2018,20180205
M01342,the bronx,shepard fairey,Aerosol,62,2012,20120212
M04566,astoria,Shepard Fairey,Spray Paint,"3,386",2018,20180715
M00199,Williamsburg,lady pink,wheatpaste,"7,622",2022,20220601
M01122,Harlem,Lady Pink,Acrylic,"4,693",2007,20071016
M02520, Bushwick ,jane q. public,spraypaint,"4,767",2009,20090708
M03014,Astoria,KAWS,Wheatpaste,"6,463",2017,20170818
M02862,soho,banksy,spray paint,"2,131",2016,20160506
M04439,Long Island City,Shepard Fairey,acrylic,"6,153",2015,20151102
M02619,Williamsburg,KAWS,Mosaic,"3,166",2014,20141216
M00631,Astoria,lady pink,acrylic,,2008,20080304
M03712,Astoria,Shepard Fairey,acrylic,"4,037",2008,20081223
M04655,LIC,Faith47,aerosol,"7,247",2009,20090309
M03449, Bushwick ,banksy,mosaic,"3,717",2023,20231209
M04144,Williamsburg,Shepard Fairey,aerosol,"2,737",2010,20100313
M02998,Astoria,os gemeos,acrylic,"5,603",2023,20230923
M00927,SoHo, BANKSY ,spray paint,975,,20060527
M03599,harlem,lady pink,aerosol,"6,438",2006,20060326
M00728,lower east side,banksy,Wheatpaste,"3,614",2016,20161212
M00354,Chelsea,KAWS,Aerosol,"4,194",2023,20230402
M03994,chelsea , BANKSY ,wheatpaste,332,2016,20160526
M02948, Bushwick ,lady pink,aerosol,"2,040",2020,20200210
M04306,Astoria,Shepard Fairey,Spray Paint,"7,785",2007,20070526
M01720,Bronx,COST,spraypaint,346,2021,20210903
M02630,bushwick,faith47,aerosol,"1,347",2006,20060920
M00447,LIC,os gemeos,acrylic,"2,382",2018,20181217
M04615,LIC,Shepard Fairey,mosaic,"6,734",2014,20140610
M04302,Harlem,Os Gemeos,Wheatpaste,"1,900",2019,20190816
M01298,bushwick,,aerosol,"7,689",2020,20200621
M00693,chelsea ,cost,Mosaic,,2013,20130626
M00899,Bronx,os gemeos,Acrylic,"6,105",2021,20210417
M04329,LIC,Banksy,spray paint,"6,470",2023,20231227
M01290,Chelsea,lady pink,Acrylic,"6,042",2014,20140819
M03934, Bushwick ,cost,Spray Paint,"2,141",,20150402
M01626,LIC, BANKSY ,wheatpaste,"6,685",2013,20131101
M01158,Harlem,COST,Aerosol,"2,945",2020,20200706
M02894,Williamsburg,,spraypaint,"2,644",2016,20161104
M01167,Harlem,KAWS,wheatpaste,"3,665",2005,20050505
M04095,soho,jane q. public,Mosaic,"3,612",2014,20140128
M00382,Bushwick,Shepard Fairey,wheatpaste,"1,701",2016,20160222
M04817,SoHo,Shepard Fairey,Aerosol,"7,194",2021,20211120
M02961,Lower East Side,KAWS,Wheatpaste,"7,219",2015,20151004
M03310,harlem,Lady Pink,Spray Paint,"5,295",2018,20180121
M02962,chelsea ,jane q. public,Spray Paint,"3,003",2014,20141006
M03812,BUSHWICK,cost,aerosol,"3,741",2020,20201126
M01991,BUSHWICK,banksy,mosaic,"4,308",2018,20180522
M02302,williamsburg,KAWS,Mosaic,"2,381",2015,20150420
M04159,Bronx,Faith47,Spray Paint,"7,128",2012,20120311
M04041,Chelsea,cost,wheatpaste,"7,143",2008,20081122
M03609,the bronx,futura,Aerosol,"2,205",2005,20050624
M03757,LIC, BANKSY ,Wheatpaste,"7,051",2023,20231218
M02838,SoHo,Jane Q. Public,acrylic,"2,751",2014,20141224
M02239,Bronx,kaws,Acrylic,262,2017,20171013
M01493, Bushwick ,banksy,Spray Paint,"7,351",2015,20150626
M03874,the bronx,Futura,Aerosol,"2,383",2009,20090717
M02260,williamsburg,Lady Pink,Wheatpaste,"5,828",2005,20050321
M00138,Long Island City,Banksy,spraypaint,654,2017,20171106
M04147,Astoria,kaws,Mosaic,,2023,20230407
M02669,harlem,Shepard Fairey,spraypaint,96,2007,20070305
M04282,bushwick,shepard fairey,mosaic,"4,383",2020,20201016
M03502,harlem,Banksy,mosaic,"2,671",2018,20181022
M01082,Long Island City,cost,Aerosol,"1,836",2009,20090223
M00033,Bushwick,KAWS,mosaic,"7,120",2013,20131127
M00505,Chelsea,,spraypaint,"7,030",2007,20070521
M02770,lower east side,Os Gemeos,spray paint,"2,461",2007,20070401
M04551,soho,jane q. public,spraypaint,"4,990",2013,20130612
M02501,Harlem,futura,wheatpaste,"6,692",2019,20190208
M01712,soho, BANKSY ,spraypaint,"1,438",2012,20120827
M04610,Chelsea,lady pink,aerosol,"2,576",2012,20120405
M04527,lower east side,,aerosol,"3,636",2019,20190927
M01050,Long Island City,kaws,Wheatpaste,118,2008,20081107
M00371, Bushwick ,os gemeos,Wheatpaste,"4,620",2013,20131213
M01036,lower east side,shepard fairey,acrylic,"5,955",2005,20050728
M00126,LES,Futura,acrylic,727,2013,20130703
M03670,Long Island City,Os Gemeos,Mosaic,"2,920",2020,20200713
M03854,chelsea , BANKSY ,spray paint,"7,172",2023,20230820
M00951,williamsburg,COST,Aerosol,"6,028",2021,20210604
M04866,Chelsea,Lady Pink,spraypaint,"6,163",2022,20220519
M04826,soho,jane q. public,Aerosol,"3,246",2014,20140114
M01895,chelsea ,lady pink,wheatpaste,"3,334",2023,20230116
M02329,astoria,kaws,Aerosol,"5,994",2022,20220827
M00942,Astoria,Futura,acrylic,"2,031",2016,20160223
M00221,lower east side,os gemeos,wheatpaste,"2,541",2016,20160720
M04297, Bushwick ,os gemeos,mosaic,"2,537",2018,20180324
M04216,astoria,Faith47,Acrylic,"7,239",2020,20201204
M03109,chelsea ,COST,acrylic,"3,928",2007,20070518
M03646,lower east side,Banksy,Wheatpaste,"3,070",2019,20191124
M02883, Bushwick ,cost,Acrylic,"4,671",2007,20070912
M03621,Long Island City,lady pink,Acrylic,"3,375",2021,20210326
M03997,astoria,Shepard Fairey,Mosaic,,2023,20230225
M00311,soho,COST,Mosaic,"6,468",2011,20110907
M04770,Bushwick,lady pink,mosaic,"1,598",2010,20100217
M02047,Harlem,Jane Q. Public,wheatpaste,"2,748",2006,20060105
M02218,chelsea ,os gemeos,Wheatpaste,"4,834",2008,20080114
M03975,lower east side,Futura,Acrylic,"2,217",2019,20190211
M03144,Long Island City,shepard fairey,mosaic,231,2009,20090502
M00153,LIC,Shepard Fairey,wheatpaste,"3,261",,20120110
M02531,LIC,banksy,spraypaint,,2005,20050411
M01983,the bronx,lady pink,wheatpaste,"1,534",2018,20180305
M01887,the bronx,Os Gemeos,spray paint,314,2009,20090319
M04779,Williamsburg,Banksy,Spray Paint,"4,794",2010,20100619
M00412,LES,futura,Acrylic,"4,944",2022,20220810
M04825, Bushwick ,Banksy,Spray Paint,"7,396",2009,20091223
M00776,LES,os gemeos,Acrylic,"1,420",2021,20210627
M02714,Lower East Side,kaws,mosaic,"4,985",2015,20150418
M02208,Williamsburg,banksy,Mosaic,"7,602",2016,20161215
M01287,Astoria, BANKSY ,acrylic,"4,453",2019,20190719
M03312,astoria,Lady Pink,spray paint,980,2016,20160725
M01913,astoria, BANKSY ,Acrylic,"2,565",2016,20160517
M02162,LES,cost,Wheatpaste,"5,078",2009,20090505
M03815,Bushwick,Shepard Fairey,acrylic,263,2017,20170519
M04627,LES,Banksy,aerosol,"3,559",2010,20100214
M00222,Long Island City,faith47,acrylic,"7,569",,20100306
M02517,the bronx,KAWS,Mosaic,"2,320",2012,20120725
M02214,BUSHWICK,shepard fairey,mosaic,"6,443",2021,20210110
M01737,Lower East Side,banksy,Aerosol,"5,693",2022,20221204
M04893,bushwick,kaws,acrylic,"3,032",2005,20050609
M01730,Bronx,lady pink,Mosaic,"2,491",2013,20130526
M00916,Long Island City,Faith47,Mosaic,"7,970",2022,20221017
M00429, Bushwick ,kaws,Spray Paint,"4,637",2021,20210711
M00394,williamsburg, BANKSY ,aerosol,229,2012,20121224
M02028,BUSHWICK,Faith47,Wheatpaste,"2,125",2008,20080618
M00242,soho,cost,Acrylic,176,2005,20050126
M02370,harlem,Jane Q. Public,Mosaic,"4,984",2014,20141008
M01243,williamsburg,jane q. public,wheatpaste,"2,249",2008,20080408
M04078,chelsea ,Os Gemeos,spraypaint,"4,727",2015,20150509
M03071,astoria,Futura,aerosol,"4,790",2018,20181125
M04798, Bushwick , BANKSY ,spray paint,,2012,20120311
M01935,williamsburg,Futura,Wheatpaste,"3,900",2022,20220216
M03258,soho,futura,Spray Paint,"6,080",2011,20110721
M00527,the bronx,faith47,spray paint,"5,758",2022,20221103
M02319,Bronx, BANKSY ,Wheatpaste,"1,051",2009,20090305
M03786,williamsburg,Jane Q. Public,aerosol,,2017,20170415
M04410,chelsea ,Jane Q. Public,Wheatpaste,"7,192",2005,20050914
M02242,Chelsea,Os Gemeos,Spray Paint,397,2006,20060319
M02357,BUSHWICK,futura,aerosol,"1,048",2013,20130520
M02449,chelsea ,Shepard Fairey,spray paint,"6,748",2007,20070928
M01698,lower east side,kaws,Aerosol,"6,444",2014,20140912
M00088,astoria,KAWS,Spray Paint,"7,963",2022,20220109
M02388,harlem, BANKSY ,wheatpaste,"3,845",2019,20190608
M02457,soho,banksy,Spray Paint,"3,500",2021,20210104
M00161,Harlem,os gemeos,Acrylic,"1,710",2020,20200123
M02828,chelsea ,jane q. public,aerosol,"5,846",2021,20210820
M01188,BUSHWICK,os gemeos,acrylic,"2,694",2023,20231223
M02548, Bushwick ,cost,Spray Paint,"4,268",2012,20120809
M02366,Lower East Side,Lady Pink,Acrylic,"6,516",2023,20231220
M02165,Chelsea,cost,mosaic,"5,846",2009,20090105
M04185,the bronx,Futura,acrylic,"1,485",2006,20060605
M04714,astoria,banksy,spray paint,"6,619",2023,20231116
M02090,Chelsea,Jane Q. Public,Mosaic,"1,514",2021,20210101
M04548,LIC,,aerosol,,2006,20060222
M00969,chelsea ,os gemeos,Spray Paint,"5,802",2018,20180920
M04327,the bronx,Shepard Fairey,acrylic,999999,2014,20140204
M04813,Chelsea, BANKSY ,Aerosol,"2,234",2017,20170917
M01661,williamsburg,shepard fairey,Spray Paint,"7,186",2009,20090311
M00042,SoHo,Shepard Fairey,acrylic,"7,342",2021,20210806
M03009,LIC,jane q. public,Acrylic,-50,2013,20130102
M01175,Astoria,Shepard Fairey,Mosaic,"3,253",2022,20221024
M02860,BUSHWICK,COST,mosaic,"3,086",2019,20190102
M04698,Williamsburg,futura,acrylic,999999,2022,20220811
M03751,LIC, BANKSY ,wheatpaste,,,20200323
M00626,Harlem,os gemeos,spraypaint,"6,958",2011,20111116
M03429,harlem,Os Gemeos,wheatpaste,"4,468",2010,20100128
M01519,williamsburg,cost,Aerosol,"3,127",2007,20070924
M01975,bushwick,Faith47,Spray Paint,323,2015,20150505
M02523,Harlem, BANKSY ,acrylic,"5,311",2013,20130203
M02095, Bushwick ,Jane Q. Public,Aerosol,"1,389",2021,20210126
M00605,SoHo,Lady Pink,Acrylic,"4,078",2009,20090506
M01670,Astoria,Lady Pink,Mosaic,"6,315",2011,20110520
M00724,Bronx,,spraypaint,"7,830",2017,20170717
M03010, Bushwick ,faith47,wheatpaste,"5,779",2015,20150119
M00107,the bronx,kaws,acrylic,"2,277",2021,20210522
M04782,williamsburg,faith47,aerosol,"7,492",2020,20200612
M04765,harlem,Shepard Fairey,Spray Paint,"3,054",2023,20231202
M01242,Bushwick,KAWS,wheatpaste,"4,825",2012,20120707
M01728,astoria,jane q. public,wheatpaste,"7,785",2008,20080303
M03541,Harlem,os gemeos,spray paint,"2,195",2016,20160221
M04475,harlem,lady pink,mosaic,"4,643",2016,20160402
M02513,harlem,Jane Q. Public,wheatpaste,"5,920",2005,20050223
M01703,Long Island City,Futura,wheatpaste,"1,596",2006,20060918
M03070,lower east side,kaws,Wheatpaste,"6,235",2021,20210813
M03003,Bronx,os gemeos,wheatpaste,"3,000",2011,20110404
M04200,Long Island City,Faith47,acrylic,"7,599",2016,20160518
M03303,Harlem,Lady Pink,Spray Paint,"2,778",2005,20050814
M01283,Bushwick,kaws,spraypaint,"2,690",2015,20151111
M01349,LES,Lady Pink,mosaic,"2,103",2006,20061113
M00653,Long Island City,Lady Pink,spray paint,"1,417",2010,20100514
M01426,BUSHWICK,Faith47,wheatpaste,"6,891",2011,20111101
M04794,the bronx,kaws,spraypaint,"6,384",2008,20081126
M01366,bushwick,futura,Aerosol,"6,982",2022,20220417
M01650,Bushwick,,Acrylic,"1,940",2023,20231126
M02332,Harlem,Jane Q. Public,acrylic,"1,951",2009,20090224
M04777,lower east side,banksy,Wheatpaste,"7,599",2007,20071015
M00327,Williamsburg,kaws,spraypaint,"4,572",2023,20230323
M00434,the bronx,Futura,Mosaic,"2,262",2016,20161113
M01035,Lower East Side,Os Gemeos,wheatpaste,"2,047",2019,20190817
M04100,LES,Os Gemeos,Spray Paint,"4,035",2021,20210226
M04253,Long Island City,Lady Pink,aerosol,"2,870",2020,20200708
M01057,Harlem,futura,spray paint,"7,740",2018,20180825
M01479, Bushwick ,COST,aerosol,"6,201",2020,20200119
M00694,chelsea ,Futura,Acrylic,"6,275",2017,20170416
M03499,Bronx,Banksy,aerosol,"6,929",,20060215
M03311,astoria,Faith47,Mosaic,"4,696",2005,20050206
M03432,Bronx,os gemeos,Aerosol,"2,933",2017,20171106
M02563, Bushwick ,banksy,Mosaic,"2,611",2019,20190302
M02595,Lower East Side,Banksy,Acrylic,"6,457",2019,20191113
M00762,Chelsea,Faith47,Wheatpaste,"3,505",2005,20050926
M01645,LES,Banksy,spraypaint,"6,988",2007,20071002
M03625,lower east side,Os Gemeos,Mosaic,"2,372",2006,20060102
M04733,astoria,futura,Mosaic,821,2019,20190505
M00677,Long Island City,Shepard Fairey,Aerosol,"4,828",,20160305
M02103,astoria,futura,mosaic,"6,002",2015,20150825
M03447,BUSHWICK,kaws,aerosol,98,2018,20180702
M04795,Astoria,jane q. public,Aerosol,"3,153",2019,20190425
M04672,Long Island City,banksy,Spray Paint,"2,060",2008,20080715
M00578,astoria,Shepard Fairey,aerosol,"6,294",2005,20050319
M03078,harlem,Faith47,Acrylic,"3,630",,20140713
M01309,chelsea ,kaws,Mosaic,"5,063",2011,20110313
M03482,Lower East Side,kaws,spraypaint,"5,099",2014,20141111
M04020,the bronx,Shepard Fairey,Acrylic,"6,133",2013,20130425
M03122,SoHo,Faith47,aerosol,303,2013,20130224
M03028,BUSHWICK,Shepard Fairey,Aerosol,"4,149",2008,20080924
M03508,chelsea ,Shepard Fairey,spray paint,682,2006,20060113
M04485,Long Island City,Futura,spray paint,"1,532",2015,20151119
M04676,Astoria,kaws,Spray Paint,"2,724",2010,20100612
M01262, Bushwick ,Lady Pink,spray paint,371,2020,20200517
M01762,Williamsburg,cost,acrylic,,2017,20170803
M01024,Astoria,jane q. public,wheatpaste,835,2005,20051010
M02656,astoria,Futura,aerosol,"4,932",2017,20171205
M00102,Harlem,kaws,Acrylic,"3,504",2006,20060604
M04163,Astoria,Jane Q. Public,Spray Paint,949,2018,20180703
M03242,LIC,Futura,Aerosol,"7,300",2014,20140726
M00733,LES,Lady Pink,spraypaint,833,2018,20181214
M03414,Lower East Side,,Mosaic,"1,453",2007,20070515
M00191,Williamsburg,Jane Q. Public,Aerosol,"1,852",2005,20051024
M02847,Chelsea,COST,mosaic,"4,280",2022,20220202
M04170,BUSHWICK,kaws,Aerosol,"3,945",2016,20161102
M01925,Bushwick,os gemeos,Aerosol,"2,720",2017,20171123
M01930,Bronx,Banksy,spray paint,634,2020,20200704
M02331,astoria,Os Gemeos,Aerosol,"4,628",2023,20231225
M02726,soho,futura,aerosol,"6,828",2013,20131106
M00325,astoria,cost,aerosol,"5,912",2018,20180404
M00118,LIC,banksy,Wheatpaste,"3,021",2014,20141120
M03195,chelsea ,KAWS,Aerosol,"5,843",2005,20051010
M04703,Williamsburg,kaws,Aerosol,"4,793",2016,20161123
M02846,Astoria,,Spray Paint,"3,782",2012,20120125
M02008,Chelsea,jane q. public,spray paint,"6,696",2018,20181218
M02418,BUSHWICK,Banksy,mosaic,"1,960",2010,20100801
M04891,LES,COST,mosaic,303,2021,20210707
M01679,LIC,Shepard Fairey,acrylic,"1,134",2005,20051017
M03091,chelsea ,faith47,Mosaic,,2012,20120821
M02733,astoria,Faith47,mosaic,"6,510",2008,20080206
M04202,chelsea ,shepard fairey,aerosol,"5,055",2016,20161120
M00327,Williamsburg,kaws,spraypaint,"4,572",2023,20230323
M04037,Long Island City,,Wheatpaste,"5,765",2021,20211120
M01931,Williamsburg,Lady Pink,spray paint,"4,105",2016,20161025
M03399,the bronx,,spray paint,"1,279",2020,20200821
M04431,Long Island City,kaws,Spray Paint,"4,445",2011,20111208
M02810,SoHo,Faith47,Acrylic,"3,996",2008,20080213
M01692,LIC,shepard fairey,Spray Paint,"6,229",2016,20161118
M02406,Bronx,cost,aerosol,"3,108",2011,20110705
M04414,Williamsburg,banksy,spray paint,"7,473",2007,20070408
M03511,bushwick,jane q. public,Mosaic,"7,373",2009,20090311
M01591,Williamsburg,faith47,Aerosol,"6,477",2009,20091118
M01098,Astoria,shepard fairey,mosaic,"5,266",2013,20130521
M04250,Bronx,Shepard Fairey,acrylic,"5,798",2020,20201007
M02995,lower east side,os gemeos,acrylic,"5,633",2005,20050413
M04684,harlem,cost,aerosol,"4,635",2010,20101004
M04073,bushwick, BANKSY ,spraypaint,"4,499",2020,20200425
M04401, Bushwick ,COST,spraypaint,"4,981",2012,20120424
M03428, Bushwick ,faith47,Wheatpaste,377,2022,20220404
M04046,Chelsea,Lady Pink,Spray Paint,"6,743",2007,20070328
M01319,Bushwick,Shepard Fairey,Acrylic,,2022,20220906
M00106,astoria, BANKSY ,Aerosol,"4,689",2006,20060122
M01872,Bronx,os gemeos,acrylic,"4,888",2005,20050117
M03992,LIC,,Acrylic,"3,243",2020,20200612
M01073,Harlem,faith47,Mosaic,"1,374",2008,20080624
M02265,williamsburg,banksy,Acrylic,"6,846",2014,20141121
M02327,lower east side,shepard fairey,acrylic,"6,929",2009,20090917
M01291,Lower East Side,Jane Q. Public,Spray Paint,"3,226",,20150122
M00859,SoHo,cost,aerosol,"5,840",2014,20140717
M01820, Bushwick ,faith47,spray paint,"7,705",2015,20150201
M04468,Astoria,banksy,spray paint,"6,275",2016,20160314
M01215,Astoria,KAWS,Spray Paint,298,2016,20160725
M04617,the bronx,Faith47,mosaic,"5,980",,20120717
M03909,LIC,jane q. public,Aerosol,"6,465",,20060409
M01497,Long Island City,futura,Acrylic,"2,487",2023,20230713
M02285,soho,lady pink,spray paint,"3,638",2017,20171021
M02360,Bronx,kaws,mosaic,"4,434",2016,20161124
M01044, Bushwick ,futura,wheatpaste,-50,2007,20070405
M01660,bushwick,Lady Pink,Aerosol,"7,554",2020,20200220
M01865,Williamsburg,cost,acrylic,"6,542",2017,20170909
M00319,Long Island City,os gemeos,Acrylic,"3,585",2012,20121113
M04478,Lower East Side,lady pink,wheatpaste,358,2005,20051205
M04123, Bushwick ,shepard fairey,spray paint,"6,378",2020,20200417
M00767,LIC, BANKSY ,mosaic,"4,984",2013,20130914
M03677,soho,Faith47,Mosaic,"6,035",2007,20070906
M03974,BUSHWICK,Futura,mosaic,,2016,20160517
M04361,BUSHWICK, BANKSY ,mosaic,"7,891",2006,20060425
M00104,williamsburg,COST,spray paint,"7,651",2013,20130511
M04227,chelsea ,faith47,mosaic,"1,447",2013,20130728
M03796, Bushwick ,banksy,Acrylic,"5,198",2023,20230724
M00810,Astoria,Lady Pink,Wheatpaste,"7,575",2006,20060911
M00720,Harlem,faith47,aerosol,"6,526",2014,20141211
M02339,astoria,Lady Pink,Mosaic,"2,304",2007,20070913
M00808,Williamsburg,Jane Q. Public,Mosaic,"4,230",2018,20180108
M00824,chelsea ,futura,Spray Paint,"6,237",2011,20110108
M02171,LIC,lady pink,spray paint,"4,623",2013,20130213
M02854,Lower East Side,kaws,wheatpaste,"3,692",2014,20141007
M04761,Astoria,Os Gemeos,Aerosol,"2,594",2016,20160919
M01224,Chelsea,KAWS,mosaic,"1,031",2007,20070822
M00215,Harlem,faith47,acrylic,"7,581",2008,20080610
M02040,soho,lady pink,Aerosol,"4,525",2010,20100224
M01454,soho,,aerosol,916,,20131121
M01653,williamsburg,cost,mosaic,"7,799",2010,20100514
