m_id,insp_dt,cond,rtg,graf,fade
M00452,2019-11-22,Good,1,No,62
M02082,2024-06-14,GOOD,2,no,
M01361,2022-11-14,Fair,5,no,73
M00393,2019-05-25,fair,2,Yes,3
M01155,2019-02-18,Excellent,2,Yes,81
M09684,2019-06-28,Fair,1,YES,77
M01050,2024-07-27,poor,4,YES,61
M03111,2022-09-12,Poor ,3,Yes,40
M03780,2022-04-01,fair,1,no,54
M01335,2023-10-05,GOOD,5,YES,93
M00963,2022-06-27,Poor ,2,Yes,92
M03973,2019-01-15,,2,y,61
M02904,2019-05-09,Good,3,yes,60
M00591,2020-10-02,Excellent,1,No,19
M02168,2022-11-15,poor,3,no,80
M00029,2022-10-12,fair,3,y,50
M03688,2021-03-02,Fair,,YES,58
M01558,2021-03-03, excellent,5,No,92
M02628,2022-02-24,Excellent,5,n,52
M02088,2023-09-02,good,1,No,78
M02612,2021-09-19,fair,1,n,73
M04281,2022-04-28,GOOD,2,n,7
M02483,2021-05-04,Fair,2,y,2
M00067,2020-03-01,GOOD,1,NO,100
M01337,2022-10-27,fair,5,YES,4
M04146,2021-10-10,GOOD,2,y,34
M01820,2022-02-16, excellent,3,y,62
M03395,2023-06-11,poor,4,y,0
M02926,2023-07-18,Poor ,5,Yes,73
M01663,2019-01-16,Fair,,Yes,55
M01900,2022-11-22,Good,3,Yes,89
M02697,2021-03-05,Fair,0,Yes,66
M04201,2019-12-04,fair,2,Yes,68
M02663,2020-11-07, excellent,3,n,90
M03189,2024-12-27,poor,4,no,41
M02072,2020-06-15,good,1,n,8
M03315,2022-05-02,Excellent,2,YES,26
M01882,2024-02-25,,4,no,58
M04307,2019-05-23,Good,4,yes,150
M03324,2020-11-24,Excellent,2,y,24
M03407,2019-08-02,Good,2,no,86
M04828,2021-01-01,Excellent,5,n,44
M03509,2020-09-06,GOOD,3,Yes,80
M00136,2020-09-04,Poor ,5,YES,40
M02049,2024-10-02,fair,3,n,21
M00901,2022-05-08,Poor ,5,NO,4
M03669,2023-05-13,poor,2,YES,27
M04117,2020-09-06,good,1,yes,55
M04164,2019-02-23,Good,2,Yes,100
M01044,2022-03-22,poor,4,yes,
M00046,2023-01-07,Excellent,5,YES,80
M00222,2024-05-21,Fair,5,Yes,31
M04821,2023-03-01,GOOD,0,NO,52
M02954,2019-05-13,poor,5,y,79
M04722,2022-02-18,Excellent,1,y,74
M04585,2019-04-04,fair,2,yes,94
M03388,2021-06-02,Poor ,4,YES,51
M02827,2020-02-02,Poor ,5,YES,32
M03092,2021-09-06,fair,5,No,3
M03786,2019-03-15,Excellent,3,no,77
M00678,2020-05-12, excellent,1,n,60
M01164,2020-06-19,fair,2,No,88
M02911,2020-08-01,GOOD,1,n,3
M01672,2024-10-20,good,1,y,41
M04759,2022-01-26,Fair,2,no,21
M09320,2020-06-15,GOOD,4,n,12
M00253,2022-10-16,Poor ,1,no,
M01911,2020-10-02,Fair,3,Yes,93
M02701,2023-11-25,Fair,,Yes,22
M01174,2024-07-24,Excellent,2,y,46
M04867,2022-02-17,GOOD,1,yes,63
M03251,2023-02-22,GOOD,4,NO,51
M04540,2020-04-12,good,2,No,83
M01251,2020-09-22,poor,5,NO,76
M03210,2022-11-14,Poor ,3,n,
M02599,2019-12-11,poor,1,Yes,-10
M09900,2020-05-26, excellent,2,y,64
M09541,2019-06-08, excellent,5,YES,37
M02808,2023-01-26,poor,1,no,67
M03052,2024-06-06,poor,3,No,46
M02370,2023-10-09,fair,2,y,95
M04644,2021-03-17,Excellent,2,No,26
M03265,2024-07-12, excellent,5,y,18
M00207,2024-11-28,fair,4,No,9
M01913,2020-02-03,Good,2,yes,34
M01163,2019-07-16,Good,5,NO,10
M01749,2020-01-16,Fair,2,Yes,71
M03237,2023-12-22,Good,1,No,92
M02373,2022-07-24,Fair,5,NO,54
M02076,2019-09-23, excellent,1,no,7
M03557,2020-02-14,fair,,YES,69
M01814,2021-12-09, excellent,5,yes,96
M00440,2024-07-20,Good,1,yes,81
M01775,2019-10-03,Good,5,Yes,29
M00582,2022-06-12,Excellent,3,Yes,49
M01532,2023-03-24,Fair,5,y,11
M02589,2019-05-08,Fair,2,yes,7
M04238,2024-07-19,Fair,3,NO,11
M03673,2024-09-02,GOOD,5,YES,16
M03984,2019-03-24,good,2,yes,62
M00338,2019-03-20,,1,Yes,94
M04087,2022-01-14, excellent,5,y,2
M02007,2020-04-02,fair,4,Yes,1
M04799,2023-11-27,Good,1,yes,-10
M02310,2023-08-15,,5,No,15
M02727,2024-10-04,GOOD,3,yes,150
M02556,2020-09-23,fair,3,n,2
M02738,2019-08-14,fair,3,n,81
M01209,2023-05-24,good,5,No,51
M02636,2023-12-14, excellent,3,no,32
M02874,2022-05-27,Excellent,4,y,29
M03587,2024-02-02,Good,5,n,6
M04665,2023-04-02,poor,4,y,39
M04520,2023-01-03,fair,2,y,75
M02390,2019-01-26,GOOD,4,YES,66
M02724,2019-10-25,GOOD,5,yes,79
M01169,2019-07-24,,3,No,73
M04591,2021-06-08,Poor ,3,NO,40
M03525,2023-01-26, excellent,1,NO,77
M02760,2023-08-26,GOOD,2,no,71
M09960,2023-08-27, excellent,3,n,98
M02164,2021-09-09,,4,n,83
M02999,2023-04-14,Good,4,Yes,21
M00159,2019-05-16,Fair,4,YES,87
M04023,2023-02-28,good,5,Yes,1
M02741,2023-04-12,Fair,5,No,88
M00323,2020-09-11,Good,4,Yes,100
M01598,2019-05-27,,4,YES,
M04111,2019-03-28,good,3,n,92
M03447,2024-11-04,GOOD,2,y,3
M03662,2019-03-22, excellent,2,NO,95
M03671,2023-05-12,Fair,5,YES,36
M00713,2024-07-21,poor,2,no,29
M04322,2023-08-21,fair,4,n,25
M03116,2019-07-03,fair,3,yes,
M09415,2019-01-20,fair,1,n,45
M01793,2021-06-16,poor,2,no,96
M03037,2020-01-17,fair,3,n,79
M02028,2024-01-23,good,1,y,61
M01912,2019-03-23,Fair,5,yes,47
M02417,2020-11-22,poor,0,n,33
M00923,2020-11-20,Good,2,yes,61
M03230,2023-07-16,Good,2,y,21
M00620,2019-01-25,good,5,no,66
M01351,2023-04-07,fair,1,y,3
M02500,2023-06-04,Poor ,5,no,55
M00597,2022-11-17,Poor ,3,no,18
M00291,2023-08-22,fair,5,YES,67
M03165,2022-07-11,,4,n,77
M00986,2020-04-06,Poor ,3,No,
M01139,2023-02-07,GOOD,1,n,48
M02784,2020-02-28,poor,2,y,98
M00520,2024-12-07,good,1,Yes,85
M04847,2021-09-01,GOOD,2,Yes,30
M01162,2019-09-25,poor,3,n,62
M02488,2020-01-27,Good,4,y,83
M01648,2022-04-07,Good,,No,57
M04693,2023-01-22,poor,1,NO,14
M03999,2023-03-26,Excellent,3,no,27
M01492,2019-01-08,GOOD,1,no,62
M01785,2019-02-22, excellent,5,NO,58
M01945,2021-10-03,Fair,3,y,2
M03690,2019-09-04,Fair,4,Yes,21
M00186,2019-09-25,fair,4,yes,32
M04727,2019-10-20,poor,4,y,19
M01864,2020-09-03,good,5,y,84
M04402,2024-03-22, excellent,5,YES,24
M04812,2024-03-10,,3,No,2
M00917,2019-07-16,good,4,y,61
M03832,2021-07-03,Fair,4,y,84
M03803,2019-03-25,good,1,Yes,68
M04856,2019-09-11,Poor ,1,no,35
M03326,2019-05-20,Excellent,2,No,23
M03080,2020-08-23,Fair,4,no,11
M02121,2023-07-04,good,4,YES,34
M02011,2019-08-07,Good,2,no,5
M00216,2020-03-13,poor,1,YES,32
M00427,2022-08-23,fair,1,No,36
M01102,2019-10-10,Fair,5,NO,43
M03239,2022-01-15,Poor ,1,Yes,7
M00413,2020-12-16,Poor ,1,No,88
M04005,2020-06-08,good,1,y,45
M00954,2023-01-18,Excellent,5,y,5
M02870,2020-09-15,Fair,5,y,
M03970,2021-12-24,fair,1,Yes,10
M00462,2020-03-16,Fair,3,n,57
M04276,2019-01-25,good,4,no,73
M04461,2020-08-03,Good,4,n,50
M00223,2023-04-05,Fair,5,No,58
M03347,2023-10-04,Good,1,yes,8
M02271,2020-05-26,,5,n,48
M03340,2022-06-04,fair,3,YES,51
M02543,2020-08-07,Good,,Yes,82
M04873,2019-01-24,Poor ,1,YES,30
M04435,2020-01-27,Excellent,1,n,19
M03110,2020-07-27,good,,YES,74
M01956,2022-04-24,Poor ,4,YES,98
M04524,2019-01-20, excellent,5,no,73
M04220,2020-04-22,,4,no,38
M04802,2022-02-07, excellent,2,y,54
M02497,2024-04-16,Good,2,yes,5
M02236,2021-03-16,GOOD,1,No,77
M01926,2022-11-16,,4,YES,91
M01014,2022-12-10,Excellent,1,NO,77
M00214,2022-05-08,poor,1,no,80
M00034,2021-08-04,Excellent,4,yes,15
M01138,2022-07-22,Fair,5,Yes,48
M00463,2020-12-02,Poor ,1,No,37
M02307,2024-01-20,GOOD,1,no,66
M02029,2023-06-06,Excellent,2,YES,82
M01954,2024-08-16,Excellent,1,no,
M04378,2024-10-08,fair,2,y,23
M00058,2024-04-16,fair,2,yes,150
M02050,2021-05-27,Excellent,4,no,36
M00697,2021-02-17,Good,3,NO,87
M01327,2022-01-07,Poor ,1,no,44
M03691,2023-09-28,Fair,5,n,4
M01720,2021-07-07,poor,5,no,6
M02923,2019-05-16,poor,4,Yes,31
M09967,2024-03-27,fair,4,Yes,24
M03339,2019-04-23,poor,1,No,27
M00328,2023-11-14,Excellent,3,no,34
M02593,2022-04-27,Fair,2,yes,93
M00691,2024-03-11,GOOD,4,y,62
M01237,2021-11-21, excellent,2,yes,77
M00605,2024-04-28,poor,1,No,150
M04773,2021-02-08,good,2,No,59
M03089,2022-08-21,Excellent,4,y,39
M00348,2019-11-04,GOOD,2,y,4
M03713,2024-01-19, excellent,4,n,82
M04526,2021-09-16,Excellent,4,YES,49
M02677,2021-04-06,good,5,n,14
M00871,2021-02-23,Poor ,3,no,44
M02635,2019-06-26,GOOD,4,n,84
M01824,2021-10-08,poor,3,n,95
M02312,2021-08-09,Fair,5,y,13
M01602,2024-12-19,Excellent,3,NO,56
M03719,2020-10-09,Excellent,5,no,0
M03394,2023-09-20,Good,2,n,78
M03499,2021-09-15,fair,1,No,61
M01494,2022-10-22,,5,No,49
M00157,2020-11-13, excellent,2,yes,79
M02138,2023-02-11,GOOD,4,NO,94
M03885,2019-12-28,,4,n,6
M03538,2024-12-04,Poor ,1,Yes,80
M03929,2021-06-20,good,1,n,54
M01537,2021-05-19,poor,5,Yes,11
M04765,2022-10-27,Excellent,1,no,1
M03050,2023-01-04,poor,1,NO,98
M04857,2020-03-02,Poor ,1,n,150
M04619,2024-09-14,good,4,yes,35
M01649,2019-04-01,Fair,4,y,20
M01068,2019-07-06,poor,5,Yes,36
M01000,2022-11-19,Excellent,1,NO,89
M00470,2022-03-20, excellent,2,yes,71
M01370,2021-10-03,good,2,y,36
M02171,2020-03-16,Poor ,1,Yes,15
M04829,2024-11-03,Fair,1,y,2
M00557,2023-07-15,GOOD,5,n,54
M04860,2020-09-03,GOOD,5,n,53
M03127,2019-03-09,Poor ,0,Yes,94
M01810,2021-08-11,Excellent,5,no,93
M04836,2021-04-25,good,2,no,62
M03934,2024-11-06,Poor ,2,Yes,55
M03751,2020-11-09,fair,2,Yes,81
M01331,2024-09-18,poor,2,NO,64
M03157,2022-05-08,good,2,yes,9
M02030,2019-12-14, excellent,4,y,50
M02022,2020-11-02,Good,2,Yes,45
M04583,2022-09-07,GOOD,4,No,100
M04793,2024-01-28,GOOD,3,No,61
M04870,2023-04-27,GOOD,2,Yes,54
M01409,2020-01-26,poor,4,n,50
M00196,2019-02-22, excellent,4,n,52
M04176,2020-03-19, excellent,4,no,31
M03722,2019-11-21,Good,5,Yes,59
M03355,2021-03-27,Fair,2,n,1
M00085,2023-11-12,Fair,5,n,
M02646,2021-10-01,Excellent,3,yes,27
M02099,2022-01-09,GOOD,1,Yes,30
M01514,2024-09-12,GOOD,5,NO,150
M00987,2020-04-22, excellent,1,Yes,67
M04303,2022-03-25,Fair,3,y,8
M04636,2023-08-23,poor,3,Yes,
M02058,2023-12-19,poor,4,No,67
M04334,2024-10-19,Poor ,2,y,54
M01839,2023-04-04,Good,5,n,21
M00590,2023-05-04,Good,1,yes,87
M00357,2023-11-14,Poor ,5,no,11
M09519,2019-11-13,Fair,5,y,1
M03404,2023-09-28,Poor ,4,YES,46
M00182,2023-09-14,fair,5,n,40
M00447,2021-06-17,Fair,5,y,23
M00724,2022-04-16,GOOD,5,n,49
M03632,2020-04-16,good,4,no,3
M00121,2024-04-04,poor,5,no,4
M04582,2022-11-07,good,5,yes,38
M03106,2020-10-18,poor,3,yes,73
M01748,2023-06-08,Poor ,3,No,86
M00297,2023-04-06,,2,no,73
M01986,2021-03-15,Excellent,4,n,44
M00494,2022-02-14,Good,4,YES,11
M04502,2022-01-17,good,1,n,82
M01333,2021-05-23,fair,2,y,31
M03890,2024-11-13,fair,4,yes,1
M02328,2021-06-27,Good,2,No,91
M02799,2023-02-11, excellent,4,no,13
M00991,2020-12-17,good,2,No,67
M03932,2020-04-06,Poor ,3,no,51
M03623,2020-03-19,GOOD,2,y,61
M02634,2022-02-22,Poor ,4,NO,72
M03426,2019-06-18,fair,2,no,89
M02812,2022-11-02,poor,3,No,95
M04861,2024-12-13,fair,1,Yes,19
M01416,2024-01-17,Fair,5,YES,55
M04684,2022-04-22,GOOD,1,yes,97
M02349,2020-05-06,Excellent,5,YES,56
M04772,2022-10-10,Poor ,4,n,9
M03704,2021-09-02,Excellent,1,No,22
M03734,2021-05-24,poor,2,no,37
M02896,2020-12-28,Good,2,n,98
M03368,2020-12-01,Excellent,4,no,23
M04723,2021-01-25,fair,5,yes,15
M04602,2024-07-14,fair,5,no,24
M02269,2023-12-07, excellent,1,NO,71
M02047,2021-02-25,Fair,2,no,10
M04251,2024-01-08,GOOD,1,yes,49
M03784,2024-09-23,Excellent,1,y,51
M03496,2024-11-20,good,3,Yes,46
M04196,2020-10-23,GOOD,2,No,49
M04709,2023-03-04,Excellent,3,yes,51
M01128,2022-05-16, excellent,2,y,50
M01152,2024-12-18,,3,yes,-10
M03152,2020-03-04,good,5,Yes,82
M03085,2024-06-11,Excellent,5,No,58
M04464,2023-03-08,fair,1,Yes,76
M02836,2021-10-16,Fair,1,n,27
M00560,2020-04-12,Poor ,2,Yes,98
M01612,2023-07-03,poor,1,No,46
M09543,2020-07-18,poor,4,NO,75
M04887,2023-09-28,GOOD,4,Yes,26
M02033,2023-04-02,fair,4,NO,44
M00352,2024-05-06,poor,3,y,46
M00384,2021-08-13,good,1,n,
M04041,2019-04-16,good,2,YES,77
M01517,2023-09-06,fair,5,No,46
M03432,2023-06-15,Poor ,4,y,95
M04864,2023-03-22,Fair,1,Yes,2
M04034,2022-01-09,Good,3,YES,26
M04174,2020-11-05,,1,yes,72
M00795,2020-02-09, excellent,1,YES,
M02173,2020-04-17,GOOD,3,Yes,81
M00997,2022-11-11,Poor ,2,No,28
M00020,2021-06-09,Fair,5,n,29
M00571,2024-07-25,good,2,y,10
M00362,2021-04-21,Good,4,no,54
M01597,2022-10-11,Fair,0,Yes,1
M02598,2023-07-09,Good,1,n,34
M04284,2024-09-02,Good,5,YES,38
M01828,2023-09-06,fair,1,n,92
M01057,2024-09-28,GOOD,3,yes,81
M00092,2020-07-01,good,4,No,25
M00355,2023-04-15, excellent,5,n,36
M01087,2023-07-23,Fair,3,no,16
M04715,2022-07-23,Excellent,4,YES,7
M02861,2022-07-08,Fair,2,n,8
M02464,2020-07-06,Good,1,yes,45
M03980,2022-09-28,Good,1,No,6
M04533,2020-03-01,fair,5,yes,3
M00726,2019-11-10,fair,4,y,31
M02367,2019-06-09,fair,1,n,88
M01150,2024-09-04,Excellent,3,y,63
M01336,2024-06-07,Excellent,3,yes,66
M00220,2024-01-25,GOOD,3,YES,13
M01214,2021-09-18,Poor ,2,Yes,77
M04473,2020-12-03, excellent,3,NO,56
M02756,2019-06-02,good,,YES,85
M03406,2024-04-12,Good,2,NO,91
M04007,2021-12-05,good,2,No,61
M02898,2023-12-03,Poor ,1,yes,40
M09428,2022-06-20,Excellent,4,No,12
M01118,2021-10-17,Excellent,5,y,8
M03977,2022-06-12,Good,3,No,20
M02890,2020-06-05,good,2,no,86
M04171,2021-07-06, excellent,3,n,70
M04840,2019-03-25,Good,3,yes,77
M02553,2021-09-21,Excellent,2,No,51
M01477,2024-08-07,Poor ,2,y,60
M02067,2019-10-03,Poor ,3,y,61
M03968,2020-08-07,fair,5,Yes,40
M03750,2024-09-23,GOOD,3,No,9
M03607,2020-10-19,Good,3,YES,19
M00068,2021-10-20,Poor ,2,y,82
M00370,2021-07-05,Fair,5,no,76
M02290,2024-08-23,poor,5,n,49
M02921,2021-08-04,Fair,2,YES,33
M04817,2019-01-27,Fair,3,NO,76
M00369,2019-06-24,Fair,5,n,21
M02846,2019-05-28, excellent,4,yes,23
M03576,2019-01-05,,5,y,78
M00600,2024-08-01,Good,3,NO,8
M00907,2020-11-17,Poor ,5,no,46
M00281,2023-02-08,poor,5,y,44
M03531,2020-03-01,Good,2,Yes,25
M01177,2023-10-24,Excellent,5,no,78
M04760,2020-08-27,good,3,no,62
M03902,2024-08-16,Good,3,yes,15
M04455,2024-05-11,GOOD,4,n,29
M02629,2022-02-10,GOOD,5,YES,98
M02857,2021-07-10,Fair,2,Yes,1
M02241,2023-05-01,fair,4,No,38
M03603,2024-03-13,,4,yes,36
M03311,2020-12-15,Fair,2,NO,99
M02404,2023-04-22,GOOD,1,yes,66
M00994,2021-01-11,Fair,5,no,16
M03133,2023-06-27,good,3,NO,88
M02475,2020-01-06,Good,4,YES,43
M00934,2024-09-26,GOOD,4,NO,96
M02605,2020-09-19,Fair,2,No,19
M03137,2021-03-25,Poor ,5,yes,68
M03682,2019-04-19,fair,5,n,72
M00809,2024-05-28,Fair,0,y,70
M04031,2020-01-06,GOOD,3,y,74
M02389,2021-08-03,Excellent,2,no,5
M04092,2021-11-21,Excellent,4,YES,10
M00874,2022-05-05,Excellent,,y,72
M04696,2023-09-28,Excellent,5,No,56
M04086,2023-03-14,Fair,3,YES,1
M01519,2024-06-23,Good,0,No,41
M00055,2022-11-13,good,3,no,61
M09048,2021-01-08,Excellent,3,y,66
M00006,2019-08-12,Good,4,yes,58
M03724,2024-12-12,Poor ,5,yes,35
M09161,2023-09-15, excellent,5,NO,30
M02925,2024-06-18,Fair,3,YES,-10
M01682,2023-01-20,Fair,5,n,25
M04493,2019-05-26,GOOD,1,No,36
M04162,2023-12-16,fair,3,n,60
M02110,2019-11-27, excellent,5,no,10
M04717,2020-03-24,GOOD,2,n,38
M02776,2024-01-13,Excellent,3,y,45
M02752,2019-03-14,poor,1,yes,35
M00825,2019-12-05,good,5,No,80
M02658,2023-02-17,poor,,no,87
M01457,2021-01-17,,4,no,78
M04421,2022-05-27,GOOD,4,No,22
M01196,2023-03-15,Excellent,1,YES,87
M04302,2019-09-24,Excellent,2,No,28
M00651,2021-09-14, excellent,5,y,31
M03193,2020-12-10,Good,3,Yes,89
M04686,2020-09-03,Good,1,no,29
M00754,2023-11-24,GOOD,5,no,80
M04250,2024-05-13,fair,4,n,21
M00558,2023-02-08, excellent,5,Yes,35
M01937,2022-09-11,Excellent,5,No,78
M00217,2019-09-08, excellent,4,no,69
M04749,2024-05-01,Good,1,YES,77
M01771,2022-04-22,Fair,2,no,89
M04210,2024-03-04,GOOD,2,No,64
M03578,2023-05-19,Good,4,yes,54
M01262,2024-04-24,GOOD,5,y,62
M04494,2020-04-12,Poor ,5,yes,58
M02771,2019-03-15,Good,2,n,83
M04531,2022-07-28,GOOD,4,n,55
M03488,2024-09-18,GOOD,3,Yes,83
M04451,2023-11-14,Poor ,3,No,88
M04325,2019-02-08,Excellent,5,YES,94
M00522,2024-02-14,good,4,NO,5
M03117,2024-05-21,,1,Yes,91
M04892,2019-08-09,Excellent,1,n,21
M03382,2019-09-14,poor,3,no,55
M04253,2022-08-20,,,no,18
M04161,2022-06-04,Excellent,3,no,39
M01958,2024-10-08,poor,3,No,45
M03619,2024-04-13,fair,1,n,60
M03630,2022-06-04,Good,2,yes,8
M03792,2020-08-28,good,2,YES,95
M02226,2024-02-06,Excellent,3,n,28
M04745,2021-01-27,Poor ,5,y,58
M04029,2020-10-13,Good,5,No,8
M01565,2019-05-06,Good,4,Yes,28
M02064,2019-04-01,fair,4,n,21
M09901,2023-11-05,Fair,2,Yes,78
M02278,2021-09-20,poor,2,Yes,85
M00097,2022-12-07, excellent,1,YES,5
M04580,2019-04-05,,2,Yes,62
M04298,2024-10-18,Excellent,3,no,68
M03300,2020-10-01,good,5,yes,
M03026,2023-02-21,Good,3,y,32
M03580,2020-11-08,poor,3,n,10
M02638,2024-07-15,,4,y,72
M00627,2020-09-10,fair,2,y,29
M04309,2019-02-02,Good,5,yes,
M01301,2022-05-25,fair,2,y,40
M02505,2022-12-06,Fair,4,yes,45
M02362,2022-07-15,fair,1,yes,-10
M00942,2022-06-28,Good,5,Yes,94
M02214,2024-07-21,poor,2,NO,28
M00562,2021-05-14,Excellent,5,yes,150
M01217,2019-01-13,fair,1,YES,95
M02930,2022-05-28,Good,4,n,29
M01049,2024-03-21,fair,4,YES,50
M03909,2024-01-21,fair,5,n,1
M03623,2020-03-19,GOOD,2,y,61
M01706,2023-04-09,Poor ,0,NO,41
M02019,2024-06-15,Good,3,y,17
M02583,2023-06-24,Fair,4,NO,78
M03008,2020-07-05,good,,YES,94
M03173,2023-08-18, excellent,1,n,33
M02003,2019-04-15,poor,3,yes,85
M03412,2020-07-28,fair,1,YES,100
M01056,2019-10-09,good,3,YES,52
M04404,2020-11-05,GOOD,3,n,26
M03550,2021-09-25,fair,1,yes,150
M02637,2022-08-23,fair,5,No,100
M02967,2020-11-05,good,5,no,45
M02438,2020-06-27,Poor ,2,Yes,83
M01992,2023-06-02,fair,1,no,3
M00646,2019-03-04,Poor ,1,n,53
M09997,2021-07-18, excellent,5,n,73
M01258,2022-11-10,GOOD,5,no,33
M04769,2023-01-08,fair,2,NO,68
M01917,2022-10-07, excellent,5,n,47
M03043,2023-12-10,Fair,2,yes,90
M01713,2019-07-27,Fair,2,yes,44
M00218,2019-11-04, excellent,4,yes,23
M04551,2019-09-28,fair,2,NO,17
M03000,2021-01-19,Excellent,4,Yes,52
M03186,2019-06-12,,1,No,96
M00832,2020-09-08,Fair,99,no,9
M04419,2022-08-15,Good,3,Yes,86
M01372,2024-12-24,GOOD,4,y,78
M00919,2021-06-14,Excellent,4,yes,97
M02009,2024-09-25,Fair,3,No,9
M02152,2024-12-24, excellent,2,y,20
M03044,2023-04-19,GOOD,2,yes,26
M00613,2024-10-19, excellent,1,y,65
M04362,2024-05-28, excellent,5,No,70
M04700,2023-04-17, excellent,4,n,72
M02795,2022-11-22, excellent,5,NO,22
M02806,2020-09-08,Poor ,4,no,17
M00721,2023-10-23,GOOD,1,no,86
M04137,2020-09-15,Fair,5,No,97
M00990,2022-01-27,fair,5,yes,46
M00830,2023-08-16,Good,1,y,64
M02363,2021-05-03,GOOD,4,yes,22
M02832,2021-08-27,Excellent,,NO,70
M01063,2024-12-07,Good,4,YES,10
M01978,2020-04-18,fair,2,n,42
M01130,2020-03-18,good,1,YES,89
M00040,2023-04-27,fair,4,Yes,48
M02105,2022-01-02, excellent,5,No,-10
M04688,2021-04-18,fair,1,yes,66
M00045,2019-02-04,Poor ,0,no,22
M00767,2019-04-02,fair,5,YES,20
M04744,2023-06-10, excellent,3,n,67
M03293,2020-06-21,poor,3,Yes,56
M04832,2023-08-23,Fair,2,NO,64
M02163,2022-02-16, excellent,,YES,97
M01985,2022-09-14, excellent,3,n,42
M01503,2020-07-23,Good,1,NO,11
M01199,2019-07-05,fair,5,no,79
M00170,2021-05-17,Poor ,1,y,44
M02494,2019-05-21,Excellent,3,n,69
M02378,2020-06-05,Poor ,2,YES,
M00209,2023-08-14,Fair,2,y,70
M03820,2021-04-24,fair,5,no,56
M04237,2019-04-17,Poor ,4,No,87
M04789,2021-03-28,GOOD,4,Yes,93
M01694,2024-05-19, excellent,1,YES,51
M01181,2021-08-23,Fair,3,No,53
M02750,2022-08-25,Good,5,no,80
M01481,2021-09-26,GOOD,3,No,25
M01158,2022-01-09,Poor ,3,No,81
M02668,2022-10-26,Fair,3,no,37
M03621,2019-03-26,Excellent,4,n,24
M04891,2024-09-20,good,2,n,99
M03771,2019-12-18,poor,1,No,65
M00544,2021-04-08,Excellent,3,YES,57
M02462,2019-05-05,Fair,4,No,86
M04753,2024-09-12,Good,3,Yes,7
M00276,2022-06-28,Excellent,1,yes,77
M03119,2022-09-18, excellent,4,NO,81
M01615,2023-08-22,fair,3,No,78
M02616,2020-05-04, excellent,3,NO,76
M03903,2022-03-22, excellent,5,y,72
M02517,2019-03-11,,5,n,25
M01061,2022-03-18, excellent,5,YES,86
M01961,2021-09-22,Poor ,5,y,38
M00503,2021-05-10,GOOD,4,y,35
M01108,2022-05-04,good,99,no,84
M00404,2020-06-07, excellent,4,no,23
M01085,2021-05-11,GOOD,2,n,92
M01685,2019-07-25,poor,5,No,72
M03403,2019-01-20, excellent,2,NO,41
M02844,2021-06-21,,2,n,14
M04559,2020-11-07,Fair,1,Yes,54
M00975,2022-07-14, excellent,3,y,50
M00765,2024-05-07,GOOD,2,Yes,61
M00353,2022-10-28,Excellent,3,no,83
M00664,2019-06-22, excellent,3,no,59
M00535,2022-02-06,Good,,n,15
M00540,2021-07-18,poor,4,Yes,19
M00219,2023-11-12,GOOD,2,yes,75
M00722,2019-09-02, excellent,5,YES,97
M03641,2024-12-10, excellent,2,No,66
M01060,2020-04-01,poor,4,n,57
M00879,2023-02-25,poor,0,YES,75
M04497,2024-01-04,,3,Yes,57
M03681,2019-04-24,good,4,No,21
M01300,2022-04-19,fair,5,Yes,6
M00003,2019-07-13,Fair,4,n,60
M02357,2024-08-02,GOOD,3,yes,18
M03399,2020-09-23,,4,no,1
M01171,2021-09-26, excellent,5,No,11
M04764,2020-09-25,Fair,4,No,3
M03246,2023-08-16, excellent,4,YES,23
M02907,2019-06-02,poor,1,yes,52
M04080,2022-03-25, excellent,1,YES,8
M01166,2023-03-11,,5,y,48
M03477,2020-05-02,Poor ,4,y,32
M00339,2019-06-17,fair,5,y,20
M02491,2024-03-11,Excellent,5,y,98
M01201,2022-04-05,Excellent,1,NO,40
M00572,2022-10-11,Fair,1,n,92
M02619,2020-08-25, excellent,5,no,50
M01480,2023-11-08,Poor ,2,y,94
M03194,2022-04-04,Good,1,Yes,40
M02718,2020-10-16,Good,4,n,57
M01309,2023-11-25,poor,5,y,15
M01993,2021-10-14,Fair,4,no,42
M04729,2021-01-26,GOOD,4,y,78
M04341,2022-12-17,good,99,YES,99
M04634,2021-08-26,Fair,3,Yes,64
M02252,2019-05-21,poor,1,n,16
M00793,2024-02-05,good,4,Yes,150
M00686,2020-01-23,good,5,No,60
M04075,2021-09-24,fair,3,y,60
M04366,2023-04-11,poor,4,no,5
M00700,2019-10-15,GOOD,4,y,60
M03511,2023-05-15,Good,4,yes,22
M00893,2023-04-15,Poor ,4,y,28
M04721,2024-04-01,good,1,No,56
M02162,2019-12-20,Fair,5,y,24
M09522,2021-12-04,poor,4,NO,45
M02368,2024-05-16,GOOD,2,y,10
M04178,2023-08-13,GOOD,1,Yes,98
M00817,2020-01-24,Good,4,n,28
M01899,2023-08-26, excellent,4,YES,15
M00861,2022-09-04,Excellent,4,y,27
M01646,2019-11-07,Poor ,5,n,91
M00467,2021-03-16,good,1,Yes,28
M02822,2021-12-18,good,5,n,89
M04445,2023-04-22,Excellent,3,no,50
M04287,2021-06-06,good,2,no,100
M00821,2019-07-12,Poor ,1,n,39
M02912,2019-08-21,Good,1,yes,94
M02526,2023-09-27,poor,5,n,15
M00946,2024-07-22,GOOD,1,y,49
